Comments,Target
['I think Ivanka likes it I also think if he wasnt her father well you know please the both of you get some classy points it makes your daughter looks like last weeks trash '],1
['DUMPSTER man is a PERVERT'],1
['Stupid father to say that to your own  daughter even if jokeshe is sick man'],1
['WTF Nasty ass dude'],1
['SWEEEET HOOOMMMEEEE ALABBAAMMMAAAAA'],0
['And yet people think this shit is okay'],1
['He is just stupid he just is I like her she  is not responsible for having a stupid and disrespectful inappropriate father'],1
['Hahaha and They Blame   Biden What a perverted  Guy   My god a new Low    Ewwww'],1
['Im boutta throw up'],1
['Thats really crazy and sickeningonly God knows all the stuff she has gone throughonly God knows'],1
['What a sick Puppy'],1
['Whatttt trump fucking ivanka'],1
['Of course you ALL KNOW that they are SLEEPING TOGETHER allegedly I would not be SURPRISED at all if through DNA Douche bag Donny was proven to be the bio dad of ISTANKA kids ISTANKA KELLYI swallow CONWAY and  PRESS SECRETARY are oral friends'],1
['What a fucked up father '],1
['His sex comment is as disturbing as people laughing in the audience  As a narcisist he gets a thrill on attention and admiration'],1
['Hi'],0
['Anyone here in 2020 bc of the idiots that say trump has not said those things'],1
['Conspiracy News Network CNN nailed it'],1
['Disgusting '],1
['Delusional as her father is'],0
['70 mil people actually voted for him'],0
['I wont be surprised if Trump had sex with his daughter '],1
['Absolutely  disgusting  commenting about his daughter like that trump disgust me'],1
['How does he even have supporters Oh my goodness this is just disgusting'],1
['He is creepy and disgusting'],1
['How is it that Wendy audience laugh at him saying that about his own daughter '],0
['Disgusting human being I know this is a couple of years old but this guy never fails to blow my mind and its never for any thing good hes basically getting a lob on about his smoking hot DAUGHTER  '],1
['THE WORDS HOT AMAZING BODY they have ID HE WASNT HIS DAUGHTER are words or phrases that should never be said about your daughter  If he can talk like this  in pubkuc in tv can u imagine himwith tge rest of the   KKK LADS This guy has  no boundaries  What a wanker'],1
['I saw someone quote this in a comment on TikTok so I Googled it to see for myself This is plain SICK'],1
['Ewww what is wrong with this sick fucktard Just gross Smh'],1
['covid  HOAX SCAM '],1
['LUCIFERIAN AGENDA'],1
['Its about us '],0
['finally standing together '],0
['not fighting not escaping '],0
['Just standing '],0
['in the still point '],0
['of who we really truly are '],0
['We already have the god CONSCIOUSNESS encoded '],0
['in our veryDNA'],0
['Trump dont tell me your screwing your daughter'],1
['What a freak'],1
['What a sick weird man'],1
[' and this is the guy many Americans want to keep as President Imagine what this guy says at international conferences '],0
['After struggling to conceive for 4 years had 1 miscarriages in between I was diagnosed with fibroid and block tubes when I went for scan ealiy February 2015 the scan results show that the fibroid was very huge 812cm after a friend of mine recommended me to this herbal specialist who helped me out with his herbs I went for Sean and I was told that the block tubes was confirmed opened and the fibroid was no longer there it was melted out by the herbs I was takingi managed to conceive my first baby naturally she is 3 years old by the grace of God I Will be  holding my second miracle baby soon God willing Im simply testifying over my breakthrough What an how I did to conceive after years of struggling  You can add him up on WhatsApp  or email  him via drebhota123456gmailcom or WhatsApp 2349035324155'],0
['httpswwwfacebookcomdrebhotanaturalremedies0234615094295377'],0
['Rolltide'],0
['hes fucking weird'],1
['Creepy  If anyone else made these comments about their daughter EVERYONE will bash them But Trump OH BOI'],1
['That dont surprise me a bit about Donald Trump cuz he is disgusting fat bastard orange face loser corrupt lying piece of shit what a disgrace for a president and his daughter is just like him loser'],1
['What A Sick Old Goat'],1
['Damn pig   errrrrr '],1
['He hit that'],1
['Me casually chilling in Canada '],0
['Eewwwww He has defo smashed his daughter'],1
['This proves that Donald Trump is incest'],1
['I feel so sorry fkr Ivanka Shes such a darling'],1
['Disgusting Touches his daughters bum Ugly old creep who thinks hes entitled to attractive women let alone his daughter Disgusting'],1
['Sick minded pervert I mean this is the worst ever'],1
['What nasty filthy vile  thoughts he has about that poor girl If my father said such disgusting lustful things about me I would never want anything else to do with him Hed better hope SHE never writes a tellall'],1
['Now there you have it that tells you what kind of person he is and the kind of people who support him'],0
['I think even people in stone age too has some ethicsthis shit gone toooo faar'],1
['Lets be honest They are simping'],1
['No wonder he won in Alabama XD'],0
['FUCKING WIERDO'],1
['yall dumb he says stuff like that because he knows it will work his haters up  yall need to realize he dont give a damn what yall think '],1
['Let them both face lie detector test and the truth will be revealed if indeed they had sex in common'],1
['Okim convinced this family is both deaf and blind'],1
['Trump out of control'],1
['OMG '],1
['How about the time he called Ivanka a great piececof A on the Howard Stern show'],1
['OFC ITS CNN'],0
['Shes an ass kisser She needs to get a life'],1
['Glad I never wanted him as president '],0
['I was originally going for Hillary Clinton same with my mother'],0
['CNN'],0
['Which father thinks this way of his daughter'],0
['He is really disgusting  '],1
['at least Trump has never actually touched her inappropriately and then theres  Joe Biden just ask all the young girls who has been around him fucking hypocrite democrats'],1
['and apparently because us Trump supporters like him because he tells the truth now means everything he has ever said and will say is really what he means literally Democrats are definitely brainwashed'],0
['And mother fuckers still voted for him '],1
['Anybody that supports and voted for trump wants to do the exact same shit he does and talks about If you voted for trump its cause you wanna fuck your daughterson or you probably already are and you want it to be smiled upon so you can be open about it Sue me bitch'],1
['And this is the man Trump supporters and Republicans want as president for a 2nd term What a disgrace'],1
['He definitely forced her'],1
['Guys you sure its his biological daughter cuz WTF is this '],1
['No ones gonna talkabout Stern being bold to comment that way '],0
['And the fact that she had to go out and defendjustify his pervy comments Poor Ivanka'],1
['Sound a lot like a dirty dad'],1
['Fuckin yikes bro'],0
['How did this guy end up in the White House And Im even surprised that after all what has happened in his term for the last four yearsalmost 48 percent of Americans still voted him again despite the lossThere is something wrong in the  US'],0
['Thats Trump for ya I cant say what Im thinking Its too sick  gross And his daughter seems to like it '],1
['I cant believe trumpets are still defending him'],0
['Wtf is wrong with him'],1
['I can say my son is handsome thats it But I will never say sex or hot  Thats sick'],1
['Asco'],0
['Cnn'],0
['And Americans put this man in the White House go figure'],0
['Now lets report about biden and his attraction to children'],1
['He never said it was ok he was talking about her height'],0
['His Koolaid drunken followers aint bitchin about this thoughThe President of the United States proudly states he could have sex with his DaughteragainPresident of the United States sexdaughteris it sinking in'],1
['honestly that was truly triggering and disturbing'],1
['What a creep Donald Trump is he stated if she wasnt his daughter he would have sex with her that is definitely discusting most important this creep Donald Trump wants only young woman he left his wives for young woman Donald Trump is a creep not to be trusted ever'],1
['Such a sicko'],1
['120130 NEVER EVER think of the word sex when describing your own daughter'],1
['Wow I only remembered the if she werent my daughter comment I didnt know he said all this This is nauseating'],1
['Trump is pathological in so many levels its scary'],1
['Funny how you CNN choose to highlight this but not Bidens remarks regardless if Trump is related or not'],0
['My god he is disgusting '],1
['TRUMP  HIS FAMILY AND THE REPUBLICANS ARE FULL BLOWN CROOKS '],1
['Okay so stern is disgusting But why would trump be okay with him talking about her like an object'],1
['Biden and I have 1 sister who is the love of my life'],0
['the best bodyLOL'],1
['And this is the guy we had as a president and many people in the world even wanted for a second term the fuck America'],1
['Welcome to Hell'],1
['Were changing the name back in a few months'],0
['Ivanka is either an idiot or a  hypocrite or both  She claims to be a feminist yet defends her father whos behaviour towards women is despicable'],1
['Thats fucken disgusting '],1
['Barack Obama is the best father'],0
['He makes embarrassing dad jokes'],1
['All Trump does is make disgusting comments'],1
['Trump a legend'],0
['Makes u wonder if anything has happen'],0
['atleast she can officially call him daddy '],0
['How disgusting Man'],1
['He and she will not feel shame even when He fuck her'],1
['Disgusting man'],1
['Donald Thump refers often to his daughter in a sexual way   Donald Thump is a LOSER and he hates LOSERS'],1
['LOL what a nasty father Haha  '],1
['Who the hell would say that about his own daughter WTF creepy like motherfucker'],1
['Maybe thats his natureand he cant say oh my daughter is coldugly not prettysaying those things are common in usatrump is justike thatjoker and down to earthhes just proud of his daughteras you can seehis marriage with Melania stays long'],1
['BIDEN 2020'],0
['Im pro trump and At first I was like well he just proud he made a beautiful daughter but why would he answer sex as in the thing they have in common  ffs'],1
['Sickening'],1
['Nasty son of butch'],1
['Yall take it too serious he clearly joking '],0
['Why can I hear the song sweet home Alabama in the background'],0
['Well Im just glad he lost in this election he will Be forBiden to come to the White House next year'],0
['WHO HERE 2020 joe Biden'],0
['And he calls Biden creepy This is freakin disgusting'],1
['Disgusting manSeriously he even hasnt spare his own daughter'],1
['Bro he obviously wasnt serious dont trust the msm'],1
['YUCCCKKKKKKK'],1
['hes a sick dog he has respect for woman Please  makes you wonder if there is something going on'],1
['This guy is sick thank god his gone'],1
['Step dad what are you doing'],1
['I deeply regret for Americans to had such loathing president'],1
['Sins of the father'],1
['Convienced he screwed her'],1
['Nasty'],1
['and Ivanka is not his only daughter why is she getting the weird special treatment '],1
['014 hips dont lie and trumps comments sick'],1
['So Ivanka called herself a feminist but she supports her father'],1
['But joe is creepy joe'],1
['He pumps kin on Halloween'],1
['Women in here obviously have never had a loving father lmfao'],0
['2004 and 2006 It was 2016 A decade later You think people dont change CNN is fucked  change my mind tho'],1
['Whos here during the 2020 presidential debates'],0
['Idk how they mistake shit they yall about her like that and bash him when he responds like wtf'],1
['Its UNREAL disgusting when I look at my daughter I think annoying little shit and the thought of her having sex makes me feel sick to the pit of my stomach and very angry theres some serious family ties going on in the trump house hold'],1
['N yall still voting for this clown'],1
['Haha i laughed at Erin Burnettes facial reaction at the end even she felt it was so awkward'],0
['SWEET HOME ALABAMA'],0
['024 yaas a girl l can feel that embarrassment and sadness lying behind her faceIts just so disrespectful'],1
['You can talk about how beautiful your daughter is but dont objectify your daughter'],1
['lol no one here has humour'],0
['People here in comment section are overreacting Trump has good and strong connection with her daughter'],0
['He is just being funny we all know Trump sense of humour'],0
['He raised his kids very well they all are sucesfull well educated well mannered  this itself shows he is a very good dad'],0
['If he is bad guy then there is no way he would had become president of USA we all know how much hard work it requies to become a president and even at age of 74 he is very strong'],0
['Bruh at this point I feel like Ivanka cant even defend her creepy father'],1
['This is actually terrifying'],1
['Did my ears malfunction or did that scary bitch actually say sex'],1
['I would put myself up for adoption'],0
['Stern was being mad weird bringing that up to her dad'],1
['He said they have sex in common Thats a confession Shes into it though'],1
['Thats the guy they want as president'],0
['wtf is wrong with him '],1
['wouldnt be suprised if he molested her as a kid poor girl'],1
['Hello everyone i know there is someone somewhere reading this I want to share a great work of a spell caster called Dr Akhigbe my husband and i had a fight which led to our divorce but when he left me a part of me left with him and i was to sad and cried all day and night i was searching something online when i saw people testifying about his great work and i just decided to give him a try i did everything he told me to do and he assured me that after 24 hours my husband will come back to me the next morning to my greatest surprised a car stopped outside my house and it was my husband im so happy he can also help you email him at'],0
['Email Akhigbespellhomegmailcom'],0
['WhatsApp 23479035428122'],0
['Its the American way good luck for the 2nd term maybe hell legalize daddy and daughter relations'],1
['he is leading our countryand he wants to have sex with his daughter'],1
['hell no im moving to germany'],0
['A dad should never think of his daughter in these waysI mean he said  If i wasnt happily married you nowHow says that about there daughterI feel like sh is digusted by him but hids itPoor girl I heard he raped his daughterI mean why does a dad treat his daughter'],1
['wow dems really be taking this out of context sometimes i pity them because they lack the brain capacity to understand how this man can benefit our country He says weird things occasionally and his hair looks like paper tho'],1
['SHE CALLS HERSELF A FEMINIST YET IS OK WITH HER FATHER TREATING WOMEN LIKE SEX OBJECTS N DEFENSE HIM LOL'],0
['Ah lads thats manky'],1
['i hope biden wins'],0
['I smell some pedo shit'],1
['Wow Just wow'],0
['He has respect for women'],0
['That is the biggest lie Ive heard'],1
['Ivankas fake teeth are way too large for her face and head Makes her look like  pony girl'],0
['Gawd seriously over reaching'],0
['Weirdo'],1
['Well he speaks the truth and no one like that '],0
['This who yall like'],0
['Oml '],1
['Fuck donald trump aye aye fuck donald yall sing with me'],1
['Would suck to be her hope she bosses up on that weird dude and doesnt let him treat her like that'],1
['Hey USA voted for George W Bush twice and I thought that was insane'],1
['vote blue'],0
['Vote Blue BidenHarris2020'],0
['Trash'],1
['Nahhhh this weird afffff'],1
['Trump may God put you in hell forever '],1
['Congrats  you didnt just earn money  but earn hell congrats again  Mike down '],0
['Thank God Im In Canada'],0
['VOTE BLUE'],0
['How the hell can she even defend him'],1
['Hes disgusting'],1
['JUST SAD'],1
['All of the answers regarding this topic can be found here in the comments Welcome to how real people feel and think about this'],0
['The most intelligent people are the Trump supporters '],0
['Ivanka needs to come forward and tell the world the truth about her father He has clearly groomed her to think incest is normal I worry that he may have molested her at some point'],1
['A lot of men end up saying weird stuff past a certain age It doesnt mean they fancy their own daughter and they hate women I am so sick of media going after people'],1
['I get it we have to treat our children really nicely but not think of the word sex thats disgusting  If I was his daughter he would have been dead'],1
['Trump conquered Covid 19 Remember what doesnt kill you makes you PRESIDENT '],0
['Love Trump Vote Trump If Trump loses the election the FBI MUST Investigate America cannot afford to lose Trump Uh uh No way Hose'],0
['Its actaully disgusting that ppl voted him'],1
['This is so sad I cant believe hes the president'],1
['America'],0
['Shame on you'],1
['Watta deadly old man he probably sniffing her undies as well shame on you Mr president'],1
['Glad not hes not my contrys leader'],0
['OH SHIT I HAVE SCOMO'],1
['Cnn always trying to blame trump smh'],0
['THATS FUCKING DISGUSTING '],1
['Hes sexually attracted to his daughter and proud to say it'],1
['Do you know one out of three Trumps supporters is as stupid as the other two'],1
['No wonder hes a conservative He fits in with all the fathers in the South Good ol incest'],1
['Okay but he didnt call her a piece of ass Stern did'],1
['Fuck fake news FOX NEWS FOR THE WIN FUCK CNN'],1
['its funny how Trump talks about his daughter like shes a result of a very successful business investment'],0
['absolutely disgusting'],1
['She must be blind No father should respond in such manner'],1
['Donald Trump '],1
['i want to recommend Dr Ojogun as the best spell caster from Africa he is a good and genuine who to love help people i came across his testimonies online how he help people bring back their lovers at first i thought he was one of those scammer but i decided to give a try but to my greatest surprise he did a good job and my lover is back and we are living together as one all this was because of dr Ojogun you can contact him'],0
['today and get your problem solved text him on whatsapp at 2348161638124 or email him at  drojoguspellcastergmailcom  Thanks'],0
['Trump is a totally pervert Discussing creepy dirty creature'],1
['That justs confirm my suspicions that Donald Trump  is a fucking pig For him to even say something like that is disgusting and disgraceful much less even THINK that Ewww Lord I hope and pray that we dont have to see 4 more years of this  Im sure some people might get upset over this post Thats okay But I will NOT back down No way Sometimes the truth hurts Yall'],1
['So cutee'],0
['trump isnt a pedo you sure about that'],1
['Disgusting'],1
['yall  disgusting that this is our president'],1
[' Dump is sick'],1
['Americas President Eeewwww '],1
['Oh theyre trying to deflect from Biden sniffing hair and feeling up young girls'],1
['This is gross asf'],1
['How could you say that you could see how incomfortable ivanka was'],1
['A Russian spy a sexual predator and a fake billionaire walk into a bar'],1
['The barman says Whatll it be Mr President'],0
['CNN is full of nonsense'],1
['He is sarcastic and a little mischievous however he is a businessman that he knows that to stay in the mouth and the criticism of the media is better that not be talk about at all In other words he is one of the best sales people that used the platform of the media to his advantage Free advertisement is Genius'],1
['He IS a PAB'],1
['what the fuck '],1
['Fuckk cnn'],1
['Imagine your father thinking of you like that'],0
['Trump looked like he was about to grab both her cheeks in that first clip'],1
['Unfortunately a lot of men find their daughters sexually attractive because their daughters are a projection of themselves vanity and then have beauty of their mothers too whom the fathers liked  Fathers need to mentally put a barrier between their attraction to their daughters by reminding themselves that its an absolute harassment for their daughters who arent narcissistic In Ivanka Trumps case she finds her father Donald Trumps attraction towards her charming and reassuring of her self worth in front of the media Thats a bad relationship Donald Trump forged that Ivanka got used to'],1
['The daughter is just as bad'],1
['Trump supporters call Biden creepy lol'],1
['WHEN DONALD SAYS DATE HE MEANS FUCK'],1
['Hes just a vulgar unsophisticated and dumb old man who hasnt come to terms with objective evaluation of his intelligence and achievements Only time will tell'],1
['More disgusting than him is how his followers defend him'],1
['This just proves theres nothing good in that old orange What kind of father talks about his daughter like that Tf'],1
['Imagine if those incestuous statements was said by Obama'],1
['Dont forget the swinger parties donnie boy'],1
['He a sick ass'],1
['Nasty bitch He fu His daughter And he is proud of it'],1
['Ivanka Trump daddys little fluffer'],1
['Wtf is wrong with him ew biden2020'],1
['Taken out of context'],0
['Trump is attracted to brainless blondes'],1
['She and her father are an item '],1
['What a creepy old man Wow talking about your daughter like that Im speechless'],1
['Biden and trump are both creepy'],1
['Weirdo'],1
[' someone explain to me how a father who talks about his daughter this way and has made multiple large hush money payments to porn stars continue yo get votes from Christians Seriously how do Christians fathers with daughter rationalize voting for this clone'],1
['I dont see whats wrong hes saying positive things about his daughter its a compliment when he said if i werent her father id date her its a mixture of a joke and a compliment of course he doesnt actually think about his daughter like that just liberals and the media making it weird'],0
['ClintonNewsNetwork'],0
['Donald Trump is the most disgusting man I have ever encountered theres no question about that hell be spending eternity with Satan'],1
['125 So funny'],1
['Americans come and carry your President'],0
['Creep'],1
['Omg Ive never heard that Howard Stern audio so creepy smh'],1
['What a scumbag'],1
['Sick'],1
['CNN fake news again'],1
['Oh that is just disgusting'],1
['Trump is winner'],0
['Talk about twisting someones words in to a sick world mentality of 2020 I never for a second thought Donald Trump was doing anything any other parent doesnt do in regards to their son or daughter the media just makes everything into a disgusting situation so people will watch The View and other shows that lie and twist the truth while they sit there like they are saints Thats the truly disgusting part'],1
['Hes not sexist hes saying she is good lookingyes that maybe weird but not sexist'],1
['Trump is very sick'],1
['httpsyoutubeyl4UtpahWjM'],0
['Trumps a pervert hits on his own daughter that sick'],1
['Ayo'],1
['Why tf does she laugh Theyre both weirdos'],1
['This bigoted man is simply a pervert Its sad that he also happens to be the US president'],1
['This is who the Great Powerful USA chose to represent meet with other kings and presidents of other nations on our superior  intellectual behalf Come on fellow citizens we can do better You might not agree with Biden but we wont be a joke and laughing stock to other leaders and nations some of who want to be superior over the US like Russia North Korea Iraq Iran and China  PLEASE my fellow citizens lets stop bickering over minut things come together for the good of all and VOTE HIM OUT North Korea and these nations are making nuclear weapons to destroy us as we speak We dont need someone who is not watching out for us befriending known enemies like Putin and Kim N Korea dictator thats bent on doing ALL AMERICAN HARM WHITE BLACKRICHPOORDEMOCRATS AND REPUBLICANS'],1
['him and biden are the best americas got btw let that sink in'],0
['Eeewwwwwwwwwww'],1
['He only values women for their looks If they look bad in his opinion they are nothing they are like air to him If they are hot they are sex objects AMERICA WAKE UP what kind of president have you elected'],1
['People shouldnt be shocked this man was close friends with jeffrey epstein '],1
['So our choices for president are a perverted man who wants to stop the murdering of innocent babies and child sex trafficking OR a pedophile who wants to allow the murdering of babies even after they are born As someone who values life and children the choice is clear Trump is getting my vote  And why is it that no one associates the American flag with the Democrats but the Republicans '],1
['I like how a bunch of ppl r talking trash abt Biden for being a pedo but completely forget or pretend to forget THIS'],1
['The way he actually touched his daughters hips  thats just disgusting'],1
['the conversation between trump and stern was fake it was pieced together from clips of trump speaking in different conversations'],1
['To all the trump supporters being fucking weird ass dickheads'],1
[' hes a bad person in my opinion Stupid rude selfcentred and just overall a very bad president Hes a fucking sociopath and a narcissist he doesnt see that his actions have consequences only sees people as objects including his own daughter'],1
['He is stupid he told people to fucking put bleach into their systems because of the pandemic which is absolutely disgraceful and disgusting considering the fact that bleach is extremely damaging to people especially children'],1
['Hes rude to others as he insults others who dont agree with him and so do some of his fans'],1
['Hes selfcentred as in many speeches about important subjects like the pandemic deaths there are multiple occasions where he compliments himself on being smart etc and what he does for America and what he does for america are mostly bad things'],1
['You say this person is sO LoW for talking about Donald trumps looks when have you heard the way he talks about his daughter YES HIS FUCKING DAUGHTER Instead of EVER complimenting on her achievements and goals he talks about her looks and his sexual attraction towards her ANY FATHER whos IMMEDIATE thought of his daughter is the word sex is absolutely disgusting What do you think he says to her offcamera'],1
['Dont believe me'],0
['There are SO many examples of what Donald Trump has done who he is one of the things that cause me to want to throw the fuck up And the fact that people like you are supporting this dried out orange is what leads me to believe that humanity will not last for long He will NEVER be better than Obama if he keeps this shit up The way he talks about the death of Bin Laden is so disrespectful as well even if he killed many people there is a better way to do it that doesnt include saying that he died like a dog'],1
['Hahaha funny all you people welcome to the real world Most dads are sexually attracted to their daughters only they hardly say it How many incest happening every day all over the world you like it or not Daughters attracted to their dads is simple psychology read some FREUD you uneducated people of America'],1
['There are a lot worse people in politics at least Trump is straight forward not decieving you'],0
['Anyone else talking about their daughter in that context would have been arrested and put in jail If he is talking that kind of pornography in public what is he doing behind closed doors'],1
['If trump were my dad and he talked about me like that I wouldnt even look at him as my father Id look at him like pedophile'],1
['Donald Trump is a satanic pervert'],1
['TRUMP  YOU ARE  A FUCKING CRAZY ASS'],1
['The typical PIG  of man who is Donald TRUMP with her daughter'],1
['In Australia we have the state of Tasmania where this is well known Maybe the Trumps are Tasmanian'],0
['im sorry america'],0
['Its just freakin weirdjust freakin weird I love my late father and he was my favorite guy but never once in his life did he ever act out of character towards me my daughter which is his granddaughter or my sisterwhich is a blessing '],1
['imagine that guy being the president HAHA'],1
['oh wait fuck'],1
['FOR ANYONE NOT SUPPORTING TRUMP'],0
['Do you dislike that he made cruelty to animals a FELONY Do you dislike he gave billions to stop the opioid crisis He destroyed ISIS killed how many terrorists without going to war and oh wait everyone said wed be in World War III by now with North Korea Do you dislike him because we are the largest producer of oil Do you dislike him because he wanted to build a wall to keep criminals and drugs from coming in Do you dislike him because he just slashed the price for medications and some cases 50 which is driving big Pharma nuts  Do you dislike that he signed a law ending the gagorder on pharmacists that prevented them from sharing moneysaving options on prescriptions Do you dislike that he signed the Save Our Seas Act which funds 10 million per year to clean tons of plastic and garbage from the ocean Do you dislike that he signed a bill for airports to provide breastfeeding stations for nursing moms Do you dislike that he signed the biggest wilderness protection and conservation bill in a decade designating 375000 acres as protected land Do you dislike that he loves America and puts Americans first Do you dislike that he made a gay man the ambassador of Germany and then asked him to clean up national security and unclassified as much of it as possible for transparency Do you dislike that hes kept almost every campaign promise with ZERO support from Congress who work against him daily plus 100 more promises because Washington was much more broken than he thought Do you dislike like that he works for free donating his salary to different charities Do you dislike that hes done more for the black community than every other President Do you dislike that he listened to senator Scott and passed Invest In Opportunity Zones to help minorities Do you dislike that he passed prison reform which gives people a second chance and has made quite a huge difference for the black communities Do you dislike that he passed VA reforms to benefit the very people who served our country and defend our freedom Do you dislike that hes winning and signing new trade deals that benefit Americans instead of costing us more Do you dislike that he loves his flag and his country Do you dislike that he calls out and has shown all of us that they ARE Fake News and they twist the truth to control and mislead the people and he is trying to protect us from this Do you dislike that hes ending wars Do you dislike that he has made a commitment to end childtrafficking and crimes against humanity and has made 1000s of arrests already Do you dislike hes brought home over 40 Americans held captive the last one from Iran Do you dislike that hes proven he was right about the Deep State and he was spied on Do you dislike that he was a Billionaire before he ran for President and now is worth at least 13 less because he loves America THAT MUCH Do you dislike that hes making the world pay their fair share for the UN for protection Do you dislike that he respects cops veterans ICE  First Responders Do you dislike that he does not sell out America to other countries like the leaders prior to him have done Could it be possible that the ones who SELL OUT America to line their pockets OWN THE MEDIA AND HOLLYWOOD and hate him so much for trying to expose them and hate him for putting the PEOPLE first that they manipulate our thinking and control the information we get to steer US to hate him These people benefit when you hate the man trying to stop them so they wont have to give up the wealth they have gotten and continue to get thru mass taxation and control Wouldnt you at least want to RESEARCH this possibility Could 65000 Americans already know the TRUTH that he has done more for blacks in the last 20 years than our last 5 Presidents put together and is actually NOT a racist but you believe he is because it has been drilled into your head and yet youve never researched his accomplishments You can start by watching those daily briefings he did during the lockdown all on line and then watching the coverage on the Main Stream Media and how they twisted it Do you actually believe the President encouraged America to inject bleach Did you research the effects of UV LIGHT which is used to disinfect SCHOOL BUSES and medical equipment and is also being used as a treatment for bacteria and respiratory infections by injecting it into humans search Healight but dont use Google they are part of the Deep State and manipulate what we see And they sell our info which is why you see merchandise pop up the day after you searched for something Use Duckduckgo They want you to believe he is stupid because if you figure out that he isnt they will lose billions of dollars and all their control I know it is hard to let go of what you believed to be true for most of your life You are not alone But your BLIND hatred of this man who is literally trying to save us from the far Left radical Socialists is going to be detrimental to our country if you continue to support their hatred They are teaching hatred and separation even in families You are not allowed to agree with part of their agenda and think for yourself you must repeat their FULL belief system or namecalling and insults ensue this is the definition of a cult All or nothing They despise LAW AND ORDER Just look around you He supports it so we are safe and can live in a civilized society He stands for unity and America first'],1
['You will be amazed at how much more peace comes into your life when you turn off the FAKE NEWS and turn on the true America where we focus on what unites us not what divides us The media hates him from day one Impeachment was on the table before he was elected They said Impeach the mother Fucrbut his rhetoric is bad Hes never given a chance yet hes done more in 4 years than any president with zero help from the media or democrats Results dont lie onto the radical left'],1
['How dare he care so much about America Love it or leave it'],0
['Do your research I have'],0
['I Copiedpasted will you'],0
['All of these are verifiable things Trump has done And verifiable that the media twists his words'],0
['Enough said I dont want to argue I just want people to be informed and to make their own opinions not just what we are told mostly by main stream media Do your own research please  Trump 2020'],0
['Ivanka is far from stupid But shes most certainly groomed'],1
['Disgusting the first thing he says they have in common is sex   Vote Biden 2020 '],1
['Americans need to vote pervert Trump out of office'],1
['That trumper is a perv'],1
['deviated prevert'],1
['And to think they call Joe Biden creepy'],1
['She used to look like a young Trump in a wig Ivanka after surgery is hotter Ivanka before her surgery 150'],0
['Breaking news They have found something to destroy Covid 19 Its called Serum Trump Well done Mr President'],0
['gross'],1
['Trump is like that creepy disgusting uncleexcept as a dad'],1
['This is why his supporters love him so much they can relate you know dating family members and all'],1
['Maybe hes doing her'],1
['Ivanka pads her chest Nagi Sanzenin is much worthy'],1
['Trump  hey Ivanka  whos ur daddy'],1
['Ivanka  yea dad ur my actual father'],1
['Trump feels a strong connection to Scotland he gets his skin tone from IrnBru'],1
['Whats the crime here exactly People do talk this way you know I think its much more disgusting to hear people denigrating Trumps entire character over nothing arguments like this'],1
['Most of the right wingers are sexiest  pervert Trump himself is a biggest example Cant imagine a man can say this to his daughter'],1
['Cant tell if hes joking but this kinda funny'],0
['Eww'],1
['he likes it he does hehehehehe'],1
['There is nothing wrong with a father and daughter being affectionate towards one another and its annoys me that people now a days are so sensitive about this type of bonding  But the whole I would date my daughter if I wasnt her father is disturbing or complimenting her ass  Ivanka looks like she is a daddys girl but who knows what else is going on especially after those comments'],1
['Its just disgusting'],1
['If hell is not the suitable place for this family could it be heaven then HELL NO'],0
